time,violation
2025-06-04 11:02:22,With Helmet,
2025-06-04 11:02:22,With Helmet,
2025-06-04 11:02:22,With Helmet,
2025-06-04 11:02:22,With Helmet,
2025-06-04 11:02:22,With Helmet,
2025-06-04 11:02:22,With Helmet,
2025-06-04 11:02:22,With Helmet,
2025-06-04 11:02:22,No Helmet,20250604_110222_685275.jpg
2025-06-04 11:02:22,With Helmet,
2025-06-04 11:02:22,With Helmet,
2025-06-04 11:02:22,With Helmet,
2025-06-04 11:02:22,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:23,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:24,With Helmet,
2025-06-04 11:02:25,With Helmet,
2025-06-04 11:02:25,With Helmet,
2025-06-04 11:02:25,With Helmet,
2025-06-04 11:02:25,With Helmet,
2025-06-04 11:02:25,With Helmet,
2025-06-04 11:02:25,With Helmet,
2025-06-04 11:02:26,With Helmet,
2025-06-04 11:02:26,With Helmet,
2025-06-04 11:02:26,With Helmet,
2025-06-04 11:02:26,With Helmet,
2025-06-04 11:02:26,With Helmet,
2025-06-04 11:02:26,With Helmet,
2025-06-04 11:02:26,With Helmet,
2025-06-04 11:02:26,With Helmet,
2025-06-04 11:02:26,With Helmet,
2025-06-04 11:02:26,With Helmet,
2025-06-04 11:02:26,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:27,With Helmet,
2025-06-04 11:02:28,With Helmet,
2025-06-04 11:02:28,With Helmet,
